,id,len
0,ԱԾՈՒԳ_01,42
1,ԱԾՈՒԳ_02,42
2,ԱԾՈՒԳ_03,42
3,ԱԾՈՒԳ_04,42
4,ԱԾՈՒԳ_05,27
5,ԱԾՈՒԳ_06,42
6,ԱԾՈՒԳ_07,42
7,ԱԾՈՒԳ_08,42
8,ԱԾՈՒԳ_09,34
9,ԱԾՈՒԳ_10,34
10,ԿԿՀ_01,42
11,ԿԿՀ_02,42
12,ԿԿՀ_03,42
13,ԿԿՀ_04,42
14,ԿԿՀ_05,27
15,ԿԿՀ_06,27
16,ԿԿՀ_07,35
17,ԿԿՀ_08,35
18,ԿԿՀ_09,27
19,ՀԴԴ_01,42
20,ՀԴԴ_02,29
21,ՀԴԴ_02,34
22,ՀԴԴ_03,42
23,ՀԴԴ_03,34
24,ՀԴԴ_04,34
25,ՀԴԴ_05,42
26,ՀԴԴ_06,35
27,ՀԴԴ_07,34
28,ՀԴԴ_08,34
29,ՀԴԴ_09,42
30,ՀԴԴ_10,35
31,ՀԴԴ_10,34
32,ՀԴԴ_11,42
33,ՀԴԴ_12,42
34,ՀԴԴ_13,42
35,ՀԿ_01,27
36,ՀԿ_02,35
37,ՀԿ_03,42
38,ՀԿ_04,42
39,ՀԿ_05,42
40,ՀԿ_06,42
41,ՀԿ_07,42
42,ՀԿ_08,34
43,ՀԿ_09,42
44,ՀԿ_10,34
45,ՀԿ_11,35
46,ՀԿ_12,35
47,ՀԿ_13,27
48,ՀԿ_14,27
49,ՀԿ_15,42
50,ՀԿ_16,42
51,ՀԿ_17,42
52,ՀԿ_18,42
53,ՀԿ_19,42
54,ՀԿ_20,42
55,ՀԿ_21,42
56,ՀԿ_22,35
57,ՀԿ_23,35
58,ՀԿ_24,42
59,ՀԿ_25,42
60,ՀԿ_26,42
61,ՀԿ_27,42
62,ՀԿ_28,42
63,ՀԿ_29,42
64,ՀԿ_30,42
65,ՀԿ_30,34
66,ՀԿ_31,42
67,ՀԿ_32,42
68,ՀԿ_33,27
69,ՀԿ_34,42
70,ՀԿ_35,42
71,ՀԿ_36,42
72,ՀԿ_37,42
73,ՀԿ_38,42
74,ՀԿ_39,42
75,ՀԿ_40,42
76,ՀԿ_41,42
